annee;heures_avec_T_et_U;heures_attendues;completude;heures_manquantes_pct;heures_humidex_defini;humidex_moyen;humidex_median;humidex_p95;humidex_max;date_max;temperature_moyenne;heures_sup30;heures_sup30_norm;heures_sup35;heures_sup35_norm;heures_sup40;heures_sup40_norm;heures_sup45;heures_sup45_norm;heures_30_35;heures_30_35_norm;heures_35_40;heures_35_40_norm;heures_40_45;heures_40_45_norm;heures_45_plus;heures_45_plus_norm;humidex_moyen_jour;humidex_max_jour;heures_jour_sup30;heures_jour_sup35;heures_jour_sup30_norm;heures_jour_sup35_norm;humidex_moyen_nuit;humidex_max_nuit;heures_nuit_sup30;heures_nuit_sup35;heures_nuit_sup30_norm;heures_nuit_sup35_norm;retenue
2013;8644;8760;0,987;1,324;2924;29,377;28,700;37,500;46,219;2013-08-12 18:00;16,448;1156;1171,500;357;361,800;57;57,800;5;5,100;799;809,700;300;304,000;52;52,700;5;5,100;30,795;45,345;637;229;643,800;231,500;27,083;40,111;145;17;147,100;17,200;True
2014;8668;8760;0,989;1,050;2992;29,270;28,636;37,732;45,742;2014-08-01 14:00;16,496;1168;1180,400;334;337,500;55;55,600;2;2,000;834;842,900;279;282,000;53;53,600;2;2,000;30,730;45,742;654;213;662,600;215,800;26,931;39,857;131;14;132,300;14,100;True
2015;8654;8760;0,988;1,210;3037;29,305;28,606;37,308;45,007;2015-06-26 16:00;16,516;1188;1202,600;372;376,600;43;43,500;1;1,000;816;826,000;329;333,000;42;42,500;1;1,000;30,877;45,007;670;260;677,900;263,100;26,976;37,029;133;9;134,700;9,100;True
2016;8666;8784;0,987;1,343;3054;29,301;28,655;37,466;46,317;2016-08-08 13:00;16,533;1170;1185,900;363;367,900;46;46,600;2;2,000;807;818,000;317;321,300;44;44,600;2;2,000;30,665;46,317;643;237;653,300;240,800;27,030;40,232;135;17;136,500;17,200;True
2017;8663;8760;0,989;1,107;3014;29,277;28,597;37,577;46,974;2017-07-12 17:00;16,620;1187;1200,300;371;375,200;35;35,400;4;4,000;816;825,100;336;339,800;31;31,300;4;4,000;30,840;46,974;666;245;672,400;247,400;26,927;39,665;143;12;144,800;12,100;True
2018;8638;8760;0,986;1,393;3061;29,311;28,744;37,263;47,201;2018-07-09 17:00;16,628;1220;1237,200;342;346,800;42;42,600;3;3,000;878;890,400;300;304,200;39;39,600;3;3,000;30,878;47,201;699;235;708,500;238,200;26,884;37,822;128;11;129,800;11,200;True
2019;8636;8760;0,986;1,416;3058;29,548;28,842;37,608;48,972;2019-07-01 14:00;16,688;1274;1292,300;399;404,700;55;55,800;2;2,000;875;887,600;344;348,900;53;53,800;2;2,000;31,084;48,972;712;264;723,600;268,300;27,162;37,998;139;11;140,900;11,200;True
2020;8687;8784;0,989;1,104;3087;29,497;28,859;37,137;44,361;2020-08-08 16:00;16,676;1282;1296,300;391;395,400;54;54,600;0;0,000;891;900,900;337;340,800;54;54,600;0;0,000;31,000;44,361;710;269;719,100;272,400;27,164;36,922;156;8;157,400;8,100;True
2021;8669;8760;0,990;1,039;3157;29,522;28,846;37,861;56,436;2021-07-11 15:00;16,758;1291;1304,600;395;399,100;75;75,800;21;21,200;896;905,400;320;323,400;54;54,600;21;21,200;30,990;56,436;719;251;726,500;253,600;27,033;42,186;141;22;142,500;22,200;True
2022;8666;8760;0,989;1,073;3106;29,645;28,907;37,987;48,156;2022-07-12 15:00;16,841;1305;1319,200;418;422,500;63;63,700;6;6,100;887;896,600;355;358,900;57;57,600;6;6,100;31,295;48,156;723;275;731,000;278,000;27,203;38,691;156;19;157,700;19,200;True
2023;8649;8760;0,987;1,267;3158;29,541;28,957;37,728;47,512;2023-07-24 15:00;16,819;1295;1311,600;414;419,300;73;73,900;9;9,100;881;892,300;341;345,400;64;64,800;9;9,100;31,163;47,512;720;266;728,200;269,000;27,018;39,186;152;16;154,200;16,200;True
2024;8681;8784;0,988;1,173;3121;29,812;29,125;38,569;46,595;2024-08-15 15:00;16,912;1371;1387,300;470;475,600;94;95,100;6;6,100;901;911,700;376;380,500;88;89,000;6;6,100;31,232;46,595;714;303;721,600;306,200;27,632;40,073;196;24;198,700;24,300;True
2025;8644;8760;0,987;1,324;3212;29,691;29,059;37,822;50,470;2025-06-21 15:00;16,934;1384;1402,600;435;440,800;67;67,900;4;4,100;949;961,700;368;372,900;63;63,800;4;4,100;31,398;50,470;763;287;774,700;291,400;27,238;38,421;166;18;168,300;18,200;True
2026;1;8760;0,000;99,989;0;;;;;;6,900;0;0,000;0;0,000;0;0,000;0;0,000;0;0,000;0;0,000;0;0,000;0;0,000;;;0;0;;;;;0;0;0,000;0,000;False
